naam,cb_er,jaarverslag_url
Enexis Groep,001912
Sligro Food Group,001919
Maastricht UMC+,001921
DHL Express Netherlands,001961
Brandweer Zuid-Limburg,001962
Fokuswonen,002010
Sekisui,002073
Rechtbank Limburg,002115
FNV,002167
DynaGroup B.V.,002172
Medi Sport V.O.F.,002195
Huisartsen Oostelijk Zuid-Limburg (HOZL),002197
Rockwool,002209
Buurtzorg Nederland,002283
Ministerie van Defensie,002322
Stichting Philadelphia,002324
Hornbach bouwmarkt (Nederland) B.V.,002350
AB Werkt,002445
AZL N.V.,002465
Talent,002477
John Deere,002689
Besix Infra Nederland B.V.,002719
Vebego,002724
ASN Bank,002732
Stichting Kentalis,002818
Neways B.V.,002890
Sappi,003073
Sulzer,003077
Stryker,003148
NOBAMA Care B.V.,003152
Refresco Benelux B.V.,003191
Gemeente Meerssen,003222
Ciro,003225
BASF,003308
Leger des Heils,003448
Tata Steel,003492
Mourik Infra B.V.,003551
Delphinium Zorg,003577
Hoera Kindercentrum,003665
Stg. Forensisch Ps. Inst. 'De Rooyse Wissel',004090
Oerlikon Eldim (Nl) B.V.,004321
Aviko Lomm,004322
Kersten Hulpmiddelenspecialist B.V.,004414
Ambulancezorg Limburg,004462
Sif Netherlands B.V.,004497
Okechamp B.V.,004707
ANWB,004724
Holland Casino,004781
Bloezem,004793
Ziekenhuis Sin Jans Gasthuis,005212
CEVA Logistics,002441
Houbensteyn B.V.,001067
Welzijnsgroep Parkstad Limburg,001215
Gemeente Kerkrade,001113
Rendiz B.V.,002699
Amalia Kliniek,002438
Apg Groep,001054
Arriva - Limburg,002852
Arvato Benelux B.V.,002436
Bakkerij Broekmans B.V.,001576
Bakkerij Voncken,001823
Bibliotheek Maasbracht,001827
Boston Scientific International B.V.,002440
Canon Production Printing Netherlands B.V.,001301
CNC International B.V.,004670
DSV,001246
Stichting Envida,000333
Ericsson Network Services,
Foot Locker Europe B.V.,001483
Gemeente Brunssum,001128
Gemeente Eijsden-Margraten,002152
Gemeente Gennep,001668
Gemeente Heerlen,001135
Gemeente Horst aan de Maas,001133
Gemeente Landgraaf,001057
Gemeente Maasgouw,001792
Gemeente Maastricht,001001
Gemeente Peel en Maas,001137
Gemeente Roermond,001200
Gemeente Sittard-Geleen,001034
Gemeente Venlo,001070
Gemeente Venray,001845
GGD Zuid-Limburg,001667
Gilde Opleidingen,001056
Hessing Greenport Venlo,004523
Katoen Natie Limburg B.V.,001272
"Stichting Kinderopvang Roermond, Maasgouw, Echt-Susteren",001014
Kindercentrum 't Rovertje,002261
Kupers Reisinfo,001815
LEVANTOgroep,001289
Medtronic B.V.,001255
Mitsubishi Motors Europe B.V.,004209
Mondriaan,001130
MTB Regio Maastricht,001108
Mutsaersstichting,001132
NLW Bedrijven,001060
Oci Nitrogen B.V.,002074
Onderwijsgemeenschap Venlo & Omstreken,001800
Koobra Invest B.V.,003071
Provincie Limburg,001992
PVH Venlo,002489
Rabobank Limburg,001761
Redcare Apotheke,
Rijksdienst voor Ondernemend Nederland,
Sabic Limburg B.V.,001027
Scheldebouw B.V. - Heerlen,
Scheuten Glas Nederland B.V.,001697
Seacon Logistics,001873
Securitas Nederland Regio Maastricht,
Sevagram,001022
Smurfit Kappa Roermond,002520
Sociale Verzekeringsbank District Roermond,
Stichting Onderwijs Midden Limburg,001257
Spie Nederland B.V.,001307
Spring Kinderopvang,001015
Stichting Daelzicht,001077
Stichting Kinderopvang 't Nest,002061
Stichting Meerderweert,001887
Stichting Moveoo,001031
Stichting Radar,000002
Stichting XONAR,001035
Stichting Gehandicaptenzorg Limburg (SGL),001041
Stichting Kinderopvang Nuth,002200
Pactum - Regiovestigingen Zuid,002516
Taxi/Touringcar-/Autoverhuurbedrijf Geerets de Leeuw B.V.,001926
Teleperformance B.V.,002144
VDL Groep B.V.,002355
Viecuri Medisch Centrum V. Noord-Limburg,001131
Vincent van Gogh voor Geestelijke Gezondheid,001112
Vissers Energy Group,002108
Vista College,001069
Vivantes Zorggroep,001569
Waa Groep N.V.,001037
Walkro,003875
Waterschap Limburg,002264
Wee-Play Kinderopvang,002317
Wellcoll Group,001640
Stichting Weller Wonen,001186
Doon Roermond,001114
Wonen Limburg Huis,001105
Stichting Yuverta,001772
Annewim BV h.o.d.n. Zorggroep Hilzijn,002941
Zuyderwende B.V.,004741
